episode_number,success_episode,failure_episode,episode_reward,episode_step,ego_safety_score,social_safety_score,timelapse
351,True,False,1111,66,,,
352,True,False,903,47,,,
353,True,False,928,44,,,
354,True,False,898,44,,,
355,True,False,938,56,,,
356,True,False,952,99,,,
357,True,False,612,109,,,
358,False,True,153,39,,,
359,True,False,914,43,,,
360,True,False,784,32,,,
361,True,False,740,47,,,
362,False,True,-66,44,,,
363,True,False,789,52,,,
364,True,False,978,60,,,
365,True,False,969,53,,,
366,True,False,809,32,,,
367,True,False,811,32,,,
368,True,False,747,42,,,
369,False,True,51,29,,,
370,True,False,774,31,,,
371,True,False,959,49,,,
372,True,False,780,32,,,
373,True,False,975,51,,,
374,True,False,837,37,,,
375,True,False,735,37,,,
376,True,False,648,45,,,
377,True,False,853,46,,,
378,False,True,186,47,,,
379,True,False,810,65,,,
380,True,False,633,90,,,
381,True,False,781,31,,,
382,True,False,854,39,,,
383,True,False,782,30,,,
384,True,False,832,60,,,
385,True,False,990,59,,,
386,True,False,789,44,,,
387,True,False,866,40,,,
388,False,True,207,50,,,
389,True,False,770,43,,,
390,False,True,104,35,,,
391,True,False,880,54,,,
392,True,False,955,44,,,
393,True,False,928,59,,,
394,True,False,702,49,,,
395,False,True,-53,50,,,
396,True,False,709,45,,,
397,True,False,694,42,,,
398,True,False,967,57,,,
399,True,False,921,61,,,
400,True,False,872,41,,,
401,True,False,980,54,,,
402,True,False,846,50,,,
403,True,False,801,32,,,
404,False,True,-59,39,,,
405,False,True,-140,30,,,
406,True,False,981,53,,,
407,False,True,6,35,,,
408,False,True,131,39,,,
409,True,False,733,29,,,
410,True,False,1131,73,,,
411,True,False,839,39,,,
412,True,False,741,55,,,
413,True,False,1027,64,,,
414,True,False,766,36,,,
415,True,False,709,25,,,
416,True,False,895,51,,,
417,False,True,54,40,,,
418,True,False,810,36,,,
419,True,False,930,52,,,
420,True,False,771,30,,,
421,False,True,-8,74,,,
422,True,False,1022,57,,,
423,False,True,89,36,,,
424,True,False,963,53,,,
425,True,False,851,39,,,
426,True,False,876,53,,,
427,True,False,929,58,,,
428,True,False,956,53,,,
429,True,False,846,47,,,
430,True,False,710,25,,,
431,True,False,951,59,,,
432,True,False,820,38,,,
433,True,False,898,50,,,
434,True,False,680,37,,,
435,True,False,911,43,,,
436,False,True,81,33,,,
437,False,True,47,44,,,
438,True,False,712,60,,,
439,True,False,647,43,,,
440,True,False,898,49,,,
441,True,False,956,62,,,
442,True,False,792,39,,,
443,True,False,1111,64,,,
444,True,False,1027,56,,,
445,True,False,978,59,,,
446,True,False,697,45,,,
447,True,False,753,36,,,
448,True,False,611,41,,,
449,False,True,22,42,,,
450,True,False,546,36,,,
451,True,False,799,46,,,
452,True,False,688,70,,,
453,True,False,1020,61,,,
454,True,False,747,45,,,
455,True,False,840,47,,,
456,False,True,51,36,,,
457,True,False,715,42,,,
458,True,False,781,38,,,
459,False,True,92,42,,,
460,True,False,860,49,,,
461,True,False,778,31,,,
462,True,False,930,56,,,
463,True,False,806,67,,,
464,False,True,-151,41,,,
465,True,False,937,62,,,
466,True,False,574,48,,,
467,True,False,741,54,,,
468,True,False,898,44,,,
469,True,False,743,58,,,
470,True,False,906,53,,,
471,True,False,880,56,,,
472,False,True,71,31,,,
473,True,False,812,45,,,
474,True,False,852,40,,,
475,False,True,205,43,,,
476,True,False,632,34,,,
477,True,False,756,46,,,
478,True,False,760,49,,,
479,True,False,638,48,,,
480,False,True,37,34,,,
481,True,False,967,51,,,
482,True,False,796,32,,,
483,True,False,973,63,,,
484,True,False,865,51,,,
485,True,False,897,51,,,
486,True,False,861,45,,,
487,True,False,767,56,,,
488,True,False,762,32,,,
489,False,True,171,61,,,
490,True,False,933,58,,,
491,True,False,525,52,,,
492,False,True,24,25,,,
493,True,False,831,55,,,
494,True,False,1016,54,,,
495,True,False,797,36,,,
496,True,False,908,63,,,
497,True,False,869,54,,,
498,True,False,658,59,,,
499,False,True,89,42,,,
500,True,False,505,36,,,
501,False,True,103,46,,,
502,True,False,858,43,,,
503,True,False,956,56,,,
504,True,False,851,38,,,
505,True,False,753,35,,,
506,True,False,627,41,,,
507,True,False,645,56,,,
508,True,False,647,62,,,
509,True,False,573,51,,,
510,False,True,160,40,,,
511,False,True,31,34,,,
512,True,False,858,44,,,
513,True,False,557,45,,,
514,True,False,931,52,,,
515,False,True,155,39,,,
516,True,False,933,55,,,
517,True,False,921,53,,,
518,True,False,830,36,,,
519,True,False,901,54,,,
520,True,False,741,34,,,
521,True,False,736,29,,,
522,True,False,753,35,,,
523,True,False,829,35,,,
524,True,False,932,46,,,
525,True,False,869,44,,,
526,True,False,920,46,,,
527,True,False,722,48,,,
528,True,False,914,48,,,
529,True,False,936,56,,,
530,False,True,76,41,,,
